ID     Combinação   Tipo   Letras    
0186   cul          CVC    cul
0187   cum          CVC    cum
0188   cun          CVC    cun
0189   cup          CVC    cup
0190   cur          CVC    cur
0191   cus          CVC    cus
0192   cut          CVC    cut
0193   cux          CVC    cux
0194   cuz          CVC    cuz
0195   dab          CVC    dab
0196   dad          CVC    dad
0197   dal          CVC    dal
0198   dam          CVC    dam
0199   dan          CVC    dan
0200   dap          CVC    dap
0201   dar          CVC    dar
0202   das          CVC    das
0203   dat          CVC    dat
0204   dax          CVC    dax
0205   daz          CVC    daz
0206   deb          CVC    deb
0207   ded          CVC    ded
0208   del          CVC    del
0209   dem          CVC    dem
0210   den          CVC    den
0211   dep          CVC    dep
0212   der          CVC    der
0213   des          CVC    des
0214   det          CVC    det
0215   dex          CVC    dex
0216   dez          CVC    dez
0217   dib          CVC    dib
0218   did          CVC    did
0219   dil          CVC    dil
0220   dim          CVC    dim
0221   din          CVC    din
0222   dip          CVC    dip
0223   dir          CVC    dir
0224   dis          CVC    dis
0225   dit          CVC    dit
0226   dix          CVC    dix
0227   diz          CVC    diz
0228   dob          CVC    dob
0229   dod          CVC    dod
0230   dol          CVC    dol
0231   dom          CVC    dom
0232   don          CVC    don
0233   dop          CVC    dop
0234   dor          CVC    dor
0235   dos          CVC    dos
0236   dot          CVC    dot
0237   dox          CVC    dox
0238   doz          CVC    doz
0239   dub          CVC    dub
0240   dud          CVC    dud
0241   dul          CVC    dul
0242   dum          CVC    dum
0243   dun          CVC    dun
0244   dup          CVC    dup
0245   dur          CVC    dur
0246   dus          CVC    dus
0247   dut          CVC    dut
0248   dux          CVC    dux
0249   duz          CVC    duz
0250   eba          VCV    eba
0251   ebe          VCV    ebe
0252   ebi          VCV    ebi
0253   ebo          VCV    ebo
0254   ebu          VCV    ebu
0255   eca          VCV    eca
0256   ece          VCV    ece
0257   eci          VCV    eci
0258   eco          VCV    eco
0259   ect          VCC    ect
0260   ecu          VCV    ecu
0261   eda          VCV    eda
0262   ede          VCV    ede
0263   edi          VCV    edi
0264   edo          VCV    edo
0265   edu          VCV    edu
0266   efa          VCV    efa
0267   efe          VCV    efe
0268   efi          VCV    efi
0269   efo          VCV    efo
0270   efu          VCV    efu
0271   ega          VCV    ega
0272   ege          VCV    ege
0273   egi          VCV    egi
0274   ego          VCV    ego
0275   egu          VCV    egu
0276   ela          VCV    ela
0277   ele          VCV    ele
0278   eli          VCV    eli
0279   elo          VCV    elo
0280   elt          VCC    elt
0281   elu          VCV    elu
0282   ema          VCV    ema
0283   eme          VCV    eme
0284   emi          VCV    emi
0285   emo          VCV    emo
0286   emp          VCC    emp
0287   emu          VCV    emu
0288   ena          VCV    ena
0289   end          VCC    end
0290   ene          VCV    ene
0291   eni          VCV    eni
0292   eno          VCV    eno
0293   ens          VCC    ens
0294   ent          VCC    ent
0295   enu          VCV    enu
0296   epa          VCV    epa
0297   epe          VCV    epe
0298   epi          VCV    epi
0299   epo          VCV    epo
0300   ept          VCC    ept
0301   epu          VCV    epu
0302   era          VCV    era
0303   ere          VCV    ere
0304   eri          VCV    eri
0305   ero          VCV    ero
0306   ert          VCC    ert
0307   eru          VCV    eru
0308   esa          VCV    esa
0309   ese          VCV    ese
0310   esi          VCV    esi
0311   eso          VCV    eso
0312   est          VCC    est
0313   esu          VCV    esu
0314   eta          VCV    eta
0315   ete          VCV    ete
0316   eti          VCV    eti
0317   eto          VCV    eto
0318   etu          VCV    etu
0319   eva          VCV    eva
0320   eve          VCV    eve
0321   evi          VCV    evi
0322   evo          VCV    evo
0323   evu          VCV    evu
0324   exa          VCV    exa
0325   exe          VCV    exe
0326   exi          VCV    exi
0327   exo          VCV    exo
0328   exu          VCV    exu
0329   eza          VCV    eza
0330   eze          VCV    eze
0331   ezi          VCV    ezi
0332   ezo          VCV    ezo
0333   ezu          VCV    ezu
0334   fab          CVC    fab
0335   fad          CVC    fad
0336   fal          CVC    fal
0337   fam          CVC    fam
0338   fan          CVC    fan
0339   fap          CVC    fap
0340   far          CVC    far
0341   fas          CVC    fas
0342   fat          CVC    fat
0343   fax          CVC    fax
0344   faz          CVC    faz
0345   feb          CVC    feb
0346   fed          CVC    fed
0347   fel          CVC    fel
0348   fem          CVC    fem
0349   fen          CVC    fen
0350   fep          CVC    fep
0351   fer          CVC    fer
0352   fes          CVC    fes
0353   fet          CVC    fet
0354   fex          CVC    fex
0355   fez          CVC    fez
0356   fib          CVC    fib
0357   fid          CVC    fid
0358   fil          CVC    fil
0359   fim          CVC    fim
0360   fin          CVC    fin
0361   fip          CVC    fip
0362   fir          CVC    fir
0363   fis          CVC    fis
0364   fit          CVC    fit
0365   fix          CVC    fix
0366   fiz          CVC    fiz
0367   fob          CVC    fob
0368   fod          CVC    fod
0369   fol          CVC    fol
0370   fom          CVC    fom
0371   fon          CVC    fon
0372   fop          CVC    fop
0373   for          CVC    for
0374   fos          CVC    fos
0375   fot          CVC    fot
0376   fox          CVC    fox
0377   foz          CVC    foz
0378   fub          CVC    fub
0379   fud          CVC    fud
0380   ful          CVC    ful
0381   fum          CVC    fum
0382   fun          CVC    fun
0383   fup          CVC    fup
0384   fur          CVC    fur
0385   fus          CVC    fus
0386   fut          CVC    fut
0387   fux          CVC    fux
0388   fuz          CVC    fuz
0389   gab          CVC    gab
0390   gad          CVC    gad
0391   gal          CVC    gal
0392   gam          CVC    gam
0393   gan          CVC    gan
0394   gap          CVC    gap
0395   gar          CVC    gar
0396   gas          CVC    gas
0397   gat          CVC    gat
0398   gax          CVC    gax
0399   gaz          CVC    gaz
0400   geb          CVC    geb
0401   ged          CVC    ged
0402   gel          CVC    gel
0403   gem          CVC    gem
0404   gen          CVC    gen
0405   gep          CVC    gep
0406   ger          CVC    ger
0407   ges          CVC    ges
0408   get          CVC    get
0409   gex          CVC    gex
0410   gez          CVC    gez
0411   gib          CVC    gib
0412   gid          CVC    gid
0413   gil          CVC    gil
0414   gim          CVC    gim
0415   gin          CVC    gin
0416   gip          CVC    gip
0417   gir          CVC    gir
0418   gis          CVC    gis
0419   git          CVC    git
0420   gix          CVC    gix
0421   giz          CVC    giz
0422   gob          CVC    gob
0423   god          CVC    god
0424   gol          CVC    gol
0425   gom          CVC    gom
0426   gon          CVC    gon
0427   gop          CVC    gop
0428   gor          CVC    gor
0429   gos          CVC    gos
0430   got          CVC    got
0431   gox          CVC    gox
0432   goz          CVC    goz
0433   gub          CVC    gub
0434   gud          CVC    gud
0435   gul          CVC    gul
0436   gum          CVC    gum
0437   gun          CVC    gun
0438   gup          CVC    gup
0439   gur          CVC    gur
0440   gus          CVC    gus
0441   gut          CVC    gut
0442   gux          CVC    gux
0443   guz          CVC    guz
0444   iba          VCV    iba
0445   ibe          VCV    ibe
0446   ibi          VCV    ibi
0447   ibo          VCV    ibo
0448   ibu          VCV    ibu
0449   ica          VCV    ica
0450   ice          VCV    ice
0451   ici          VCV    ici
0452   ico          VCV    ico
0453   ict          VCC    ict
0454   icu          VCV    icu
0455   ida          VCV    ida
0456   ide          VCV    ide
0457   idi          VCV    idi
0458   ido          VCV    ido
0459   idu          VCV    idu
0460   ifa          VCV    ifa
0461   ife          VCV    ife
0462   ifi          VCV    ifi
0463   ifo          VCV    ifo
0464   ifu          VCV    ifu
0465   iga          VCV    iga
0466   ige          VCV    ige
0467   igi          VCV    igi
0468   igo          VCV    igo
0469   igu          VCV    igu
0470   ila          VCV    ila
0471   ile          VCV    ile
0472   ili          VCV    ili
0473   ilo          VCV    ilo
0474   ilt          VCC    ilt
0475   ilu          VCV    ilu
0476   ima          VCV    ima
0477   ime          VCV    ime
0478   imi          VCV    imi
0479   imo          VCV    imo
0480   imp          VCC    imp
0481   imu          VCV    imu
0482   ina          VCV    ina
0483   ind          VCC    ind
0484   ine          VCV    ine
0485   ini          VCV    ini
0486   ino          VCV    ino
0487   ins          VCC    ins
0488   int          VCC    int
0489   inu          VCV    inu
0490   ipa          VCV    ipa
0491   ipe          VCV    ipe
0492   ipi          VCV    ipi
0493   ipo          VCV    ipo
0494   ipt          VCC    ipt
0495   ipu          VCV    ipu
0496   ira          VCV    ira
0497   ire          VCV    ire
0498   iri          VCV    iri
0499   iro          VCV    iro
0500   irt          VCC    irt
0501   iru          VCV    iru
0502   isa          VCV    isa
0503   ise          VCV    ise
0504   isi          VCV    isi
0505   iso          VCV    iso
0506   ist          VCC    ist
0507   isu          VCV    isu
0508   ita          VCV    ita
0509   ite          VCV    ite
0510   iti          VCV    iti
0511   ito          VCV    ito
0512   itu          VCV    itu
0513   iva          VCV    iva
0514   ive          VCV    ive
0515   ivi          VCV    ivi
0516   ivo          VCV    ivo
0517   ivu          VCV    ivu
0518   ixa          VCV    ixa
0519   ixe          VCV    ixe
0520   ixi          VCV    ixi
0521   ixo          VCV    ixo
0522   ixu          VCV    ixu
0523   iza          VCV    iza
0524   ize          VCV    ize
0525   izi          VCV    izi
0526   izo          VCV    izo
0527   izu          VCV    izu
0528   lab          CVC    lab
0529   lad          CVC    lad
0530   lal          CVC    lal
0531   lam          CVC    lam
0532   lan          CVC    lan
0533   lap          CVC    lap
0534   lar          CVC    lar
0535   las          CVC    las
0536   lat          CVC    lat
0537   lax          CVC    lax
0538   laz          CVC    laz
0539   leb          CVC    leb
0540   led          CVC    led
0541   lel          CVC    lel
0542   lem          CVC    lem
0543   len          CVC    len
0544   lep          CVC    lep
0545   ler          CVC    ler
0546   les          CVC    les
0547   let          CVC    let
0548   lex          CVC    lex
0549   lez          CVC    lez
0550   lib          CVC    lib
0551   lid          CVC    lid
0552   lil          CVC    lil
0553   lim          CVC    lim
0554   lin          CVC    lin
0555   lip          CVC    lip
0556   lir          CVC    lir
0557   lis          CVC    lis
0558   lit          CVC    lit
0559   lix          CVC    lix
0560   liz          CVC    liz
0561   lob          CVC    lob
0562   lod          CVC    lod
0563   lol          CVC    lol
0564   lom          CVC    lom
0565   lon          CVC    lon
0566   lop          CVC    lop
0567   lor          CVC    lor
0568   los          CVC    los
0569   lot          CVC    lot
0570   lox          CVC    lox
0571   loz          CVC    loz
0572   lub          CVC    lub
0573   lud          CVC    lud
0574   lul          CVC    lul
0575   lum          CVC    lum
0576   lun          CVC    lun
0577   lup          CVC    lup
0578   lur          CVC    lur
0579   lus          CVC    lus
0580   lut          CVC    lut
0581   lux          CVC    lux
0582   luz          CVC    luz
0583   mab          CVC    mab
0584   mad          CVC    mad
0585   mal          CVC    mal
0586   mam          CVC    mam
0587   man          CVC    man
0588   map          CVC    map
0589   mar          CVC    mar
0590   mas          CVC    mas
0591   mat          CVC    mat
0592   max          CVC    max
0593   maz          CVC    maz
0594   meb          CVC    meb
0595   med          CVC    med
0596   mel          CVC    mel
0597   mem          CVC    mem
0598   men          CVC    men
0599   mep          CVC    mep
0600   mer          CVC    mer
0601   mes          CVC    mes
0602   met          CVC    met
0603   mex          CVC    mex
0604   mez          CVC    mez
0605   mib          CVC    mib
0606   mid          CVC    mid
0607   mil          CVC    mil
0608   mim          CVC    mim
0609   min          CVC    min
0610   mip          CVC    mip
0611   mir          CVC    mir
0612   mis          CVC    mis
0613   mit          CVC    mit
0614   mix          CVC    mix
0615   miz          CVC    miz
0616   mob          CVC    mob
0617   mod          CVC    mod
0618   mol          CVC    mol
0619   mom          CVC    mom
0620   mon          CVC    mon
0621   mop          CVC    mop
0622   mor          CVC    mor
0623   mos          CVC    mos
0624   mot          CVC    mot
0625   mox          CVC    mox
0626   moz          CVC    moz
0627   mub          CVC    mub
0628   mud          CVC    mud
0629   mul          CVC    mul
0630   mum          CVC    mum
0631   mun          CVC    mun
0632   mup          CVC    mup
0633   mur          CVC    mur
0634   mus          CVC    mus
0635   mut          CVC    mut
0636   mux          CVC    mux
0637   muz          CVC    muz
0638   nab          CVC    nab
0639   nad          CVC    nad
0640   nal          CVC    nal
0641   nam          CVC    nam
0642   nan          CVC    nan
0643   nap          CVC    nap
0644   nar          CVC    nar
0645   nas          CVC    nas
0646   nat          CVC    nat
0647   nax          CVC    nax
0648   naz          CVC    naz
0649   neb          CVC    neb
0650   ned          CVC    ned
0651   nel          CVC    nel
0652   nem          CVC    nem
0653   nen          CVC    nen
0654   nep          CVC    nep
0655   ner          CVC    ner
0656   nes          CVC    nes
0657   net          CVC    net
0658   nex          CVC    nex
0659   nez          CVC    nez
0660   nib          CVC    nib
0661   nid          CVC    nid
0662   nil          CVC    nil
0663   nim          CVC    nim
0664   nin          CVC    nin
0665   nip          CVC    nip
0666   nir          CVC    nir
0667   nis          CVC    nis
0668   nit          CVC    nit
0669   nix          CVC    nix
0670   niz          CVC    niz
0671   nob          CVC    nob
0672   nod          CVC    nod
0673   nol          CVC    nol
0674   nom          CVC    nom
0675   non          CVC    non
0676   nop          CVC    nop
0677   nor          CVC    nor
0678   nos          CVC    nos
0679   not          CVC    not
0680   nox          CVC    nox
0681   noz          CVC    noz
0682   nub          CVC    nub
0683   nud          CVC    nud
0684   nul          CVC    nul
0685   num          CVC    num
0686   nun          CVC    nun
0687   nup          CVC    nup
0688   nur          CVC    nur
0689   nus          CVC    nus
0690   nut          CVC    nut
0691   nux          CVC    nux
0692   nuz          CVC    nuz
0693   oba          VCV    oba
0694   obe          VCV    obe
0695   obi          VCV    obi
0696   obo          VCV    obo
0697   obu          VCV    obu
0698   oca          VCV    oca
0699   oce          VCV    oce
0700   oci          VCV    oci
0701   oco          VCV    oco
0702   oct          VCC    oct
0703   ocu          VCV    ocu
0704   oda          VCV    oda
0705   ode          VCV    ode
0706   odi          VCV    odi
0707   odo          VCV    odo
0708   odu          VCV    odu
0709   ofa          VCV    ofa
0710   ofe          VCV    ofe
0711   ofi          VCV    ofi
0712   ofo          VCV    ofo
0713   ofu          VCV    ofu
0714   oga          VCV    oga
0715   oge          VCV    oge
0716   ogi          VCV    ogi
0717   ogo          VCV    ogo
0718   ogu          VCV    ogu
0719   ola          VCV    ola
0720   ole          VCV    ole
0721   oli          VCV    oli
0722   olo          VCV    olo
0723   olt          VCC    olt
0724   olu          VCV    olu
0725   oma          VCV    oma
0726   ome          VCV    ome
0727   omi          VCV    omi
0728   omo          VCV    omo
0729   omp          VCC    omp
0730   omu          VCV    omu
0731   ona          VCV    ona
0732   ond          VCC    ond
0733   one          VCV    one
0734   oni          VCV    oni
0735   ono          VCV    ono
0736   ons          VCC    ons
0737   ont          VCC    ont
0738   onu          VCV    onu
0739   opa          VCV    opa
0740   ope          VCV    ope
0741   opi          VCV    opi
0742   opo          VCV    opo
0743   opt          VCC    opt
0744   opu          VCV    opu
0745   ora          VCV    ora
0746   ore          VCV    ore
0747   ori          VCV    ori
0748   oro          VCV    oro
0749   ort          VCC    ort
0750   oru          VCV    oru
0751   osa          VCV    osa
0752   ose          VCV    ose
0753   osi          VCV    osi
0754   oso          VCV    oso
0755   ost          VCC    ost
0756   osu          VCV    osu
0757   ota          VCV    ota
0758   ote          VCV    ote
0759   oti          VCV    oti
0760   oto          VCV    oto
0761   otu          VCV    otu
0762   ova          VCV    ova
0763   ove          VCV    ove
0764   ovi          VCV    ovi
0765   ovo          VCV    ovo
0766   ovu          VCV    ovu
0767   oxa          VCV    oxa
0768   oxe          VCV    oxe
0769   oxi          VCV    oxi
0770   oxo          VCV    oxo
0771   oxu          VCV    oxu
0772   oza          VCV    oza
0773   oze          VCV    oze
0774   ozi          VCV    ozi
0775   ozo          VCV    ozo
0776   ozu          VCV    ozu
0777   pab          CVC    pab
0778   pad          CVC    pad
0779   pal          CVC    pal
0780   pam          CVC    pam
0781   pan          CVC    pan
0782   pap          CVC    pap
0783   par          CVC    par
0784   pas          CVC    pas
0785   pat          CVC    pat
0786   pax          CVC    pax
0787   paz          CVC    paz
0788   peb          CVC    peb
0789   ped          CVC    ped
0790   pel          CVC    pel
0791   pem          CVC    pem
0792   pen          CVC    pen
0793   pep          CVC    pep
0794   per          CVC    per
0795   pes          CVC    pes
0796   pet          CVC    pet
0797   pex          CVC    pex
0798   pez          CVC    pez
0799   pib          CVC    pib
0800   pid          CVC    pid
0801   pil          CVC    pil
0802   pim          CVC    pim
0803   pin          CVC    pin
0804   pip          CVC    pip
0805   pir          CVC    pir
0806   pis          CVC    pis
0807   pit          CVC    pit
0808   pix          CVC    pix
0809   piz          CVC    piz
0810   pob          CVC    pob
0811   pod          CVC    pod
0812   pol          CVC    pol
0813   pom          CVC    pom
0814   pon          CVC    pon
0815   pop          CVC    pop
0816   por          CVC    por
0817   pos          CVC    pos
0818   pot          CVC    pot
0819   pox          CVC    pox
0820   poz          CVC    poz
0821   pub          CVC    pub
0822   pud          CVC    pud
0823   pul          CVC    pul
0824   pum          CVC    pum
0825   pun          CVC    pun
0826   pup          CVC    pup
0827   pur          CVC    pur
0828   pus          CVC    pus
0829   put          CVC    put
0830   pux          CVC    pux
0831   puz          CVC    puz
0832   rab          CVC    rab
0833   rad          CVC    rad
0834   ral          CVC    ral
0835   ram          CVC    ram
0836   ran          CVC    ran
0837   rap          CVC    rap
0838   rar          CVC    rar
0839   ras          CVC    ras
0840   rat          CVC    rat
0841   rax          CVC    rax
0842   raz          CVC    raz
0843   reb          CVC    reb
0844   red          CVC    red
0845   rel          CVC    rel
0846   rem          CVC    rem
0847   ren          CVC    ren
0848   rep          CVC    rep
0849   rer          CVC    rer
0850   res          CVC    res
0851   ret          CVC    ret
0852   rex          CVC    rex
0853   rez          CVC    rez
0854   rib          CVC    rib
0855   rid          CVC    rid
0856   ril          CVC    ril
0857   rim          CVC    rim
0858   rin          CVC    rin
0859   rip          CVC    rip
0860   rir          CVC    rir
0861   ris          CVC    ris
0862   rit          CVC    rit
0863   rix          CVC    rix
0864   riz          CVC    riz
0865   rob          CVC    rob
0866   rod          CVC    rod
0867   rol          CVC    rol
0868   rom          CVC    rom
0869   ron          CVC    ron
0870   rop          CVC    rop
0871   ror          CVC    ror
0872   ros          CVC    ros
0873   rot          CVC    rot
0874   rox          CVC    rox
0875   roz          CVC    roz
0876   rub          CVC    rub
0877   rud          CVC    rud
0878   rul          CVC    rul
0879   rum          CVC    rum
0880   run          CVC    run
0881   rup          CVC    rup
0882   rur          CVC    rur
0883   rus          CVC    rus
0884   rut          CVC    rut
0885   rux          CVC    rux
0886   ruz          CVC    ruz
0887   sab          CVC    sab
0888   sad          CVC    sad
0889   sal          CVC    sal
0890   sam          CVC    sam
0891   san          CVC    san
0892   sap          CVC    sap
0893   sar          CVC    sar
0894   sas          CVC    sas
0895   sat          CVC    sat
0896   sax          CVC    sax
0897   saz          CVC    saz
0898   seb          CVC    seb
0899   sed          CVC    sed
0900   sel          CVC    sel
0901   sem          CVC    sem
0902   sen          CVC    sen
0903   sep          CVC    sep
0904   ser          CVC    ser
0905   ses          CVC    ses
0906   set          CVC    set
0907   sex          CVC    sex
0908   sez          CVC    sez
0909   sib          CVC    sib
0910   sid          CVC    sid
0911   sil          CVC    sil
0912   sim          CVC    sim
0913   sin          CVC    sin
0914   sip          CVC    sip
0915   sir          CVC    sir
0916   sis          CVC    sis
0917   sit          CVC    sit
0918   six          CVC    six
0919   siz          CVC    siz
0920   sob          CVC    sob
0921   sod          CVC    sod
0922   sol          CVC    sol
0923   som          CVC    som
0924   son          CVC    son
0925   sop          CVC    sop
0926   sor          CVC    sor
0927   sos          CVC    sos
0928   sot          CVC    sot
0929   sox          CVC    sox
0930   soz          CVC    soz
0931   sub          CVC    sub
0932   sud          CVC    sud
0933   sul          CVC    sul
0934   sum          CVC    sum
0935   sun          CVC    sun
0936   sup          CVC    sup
0937   sur          CVC    sur
0938   sus          CVC    sus
0939   sut          CVC    sut
0940   sux          CVC    sux
0941   suz          CVC    suz
0942   tab          CVC    tab
0943   tad          CVC    tad
0944   tal          CVC    tal
0945   tam          CVC    tam
0946   tan          CVC    tan
0947   tap          CVC    tap
0948   tar          CVC    tar
0949   tas          CVC    tas
0950   tat          CVC    tat
0951   tax          CVC    tax
0952   taz          CVC    taz
0953   teb          CVC    teb
0954   ted          CVC    ted
0955   tel          CVC    tel
0956   tem          CVC    tem
0957   ten          CVC    ten
0958   tep          CVC    tep
0959   ter          CVC    ter
0960   tes          CVC    tes
0961   tet          CVC    tet
0962   tex          CVC    tex
0963   tez          CVC    tez
0964   tib          CVC    tib
0965   tid          CVC    tid
0966   til          CVC    til
0967   tim          CVC    tim
0968   tin          CVC    tin
0969   tip          CVC    tip
0970   tir          CVC    tir
0971   tis          CVC    tis
0972   tit          CVC    tit
0973   tix          CVC    tix
0974   tiz          CVC    tiz
0975   tob          CVC    tob
0976   tod          CVC    tod
0977   tol          CVC    tol
0978   tom          CVC    tom
0979   ton          CVC    ton
0980   top          CVC    top
0981   tor          CVC    tor
0982   tos          CVC    tos
0983   tot          CVC    tot
0984   tox          CVC    tox
0985   toz          CVC    toz
0986   tub          CVC    tub
0987   tud          CVC    tud
0988   tul          CVC    tul
0989   tum          CVC    tum
0990   tun          CVC    tun
0991   tup          CVC    tup
0992   tur          CVC    tur
0993   tus          CVC    tus
0994   tut          CVC    tut
0995   tux          CVC    tux
0996   tuz          CVC    tuz
0997   uba          VCV    uba
0998   ube          VCV    ube
0999   ubi          VCV    ubi
1000   ubo          VCV    ubo
1001   ubu          VCV    ubu
1002   uca          VCV    uca
1003   uce          VCV    uce
1004   uci          VCV    uci
1005   uco          VCV    uco
1006   uct          VCC    uct
1007   ucu          VCV    ucu
1008   uda          VCV    uda
1009   ude          VCV    ude
1010   udi          VCV    udi
1011   udo          VCV    udo
1012   udu          VCV    udu
1013   ufa          VCV    ufa
1014   ufe          VCV    ufe
1015   ufi          VCV    ufi
1016   ufo          VCV    ufo
1017   ufu          VCV    ufu
1018   uga          VCV    uga
1019   uge          VCV    uge
1020   ugi          VCV    ugi
1021   ugo          VCV    ugo
1022   ugu          VCV    ugu
1023   ula          VCV    ula
1024   ule          VCV    ule
1025   uli          VCV    uli
1026   ulo          VCV    ulo
1027   ult          VCC    ult
1028   ulu          VCV    ulu
1029   uma          VCV    uma
1030   ume          VCV    ume
1031   umi          VCV    umi
1032   umo          VCV    umo
1033   ump          VCC    ump
1034   umu          VCV    umu
1035   una          VCV    una
1036   und          VCC    und
1037   une          VCV    une
1038   uni          VCV    uni
1039   uno          VCV    uno
1040   uns          VCC    uns
1041   unt          VCC    unt
1042   unu          VCV    unu
1043   upa          VCV    upa
1044   upe          VCV    upe
1045   upi          VCV    upi
1046   upo          VCV    upo
1047   upt          VCC    upt
1048   upu          VCV    upu
1049   ura          VCV    ura
1050   ure          VCV    ure
1051   uri          VCV    uri
1052   uro          VCV    uro
1053   urt          VCC    urt
1054   uru          VCV    uru
1055   usa          VCV    usa
1056   use          VCV    use
1057   usi          VCV    usi
1058   uso          VCV    uso
1059   ust          VCC    ust
1060   usu          VCV    usu
1061   uta          VCV    uta
1062   ute          VCV    ute
1063   uti          VCV    uti
1064   uto          VCV    uto
1065   utu          VCV    utu
1066   uva          VCV    uva
1067   uve          VCV    uve
1068   uvi          VCV    uvi
1069   uvo          VCV    uvo
1070   uvu          VCV    uvu
1071   uxa          VCV    uxa
